Date,Close,adj close after change position,adj weight,position,total value,equity
2021-03-02,3870.2900390625,3870.2900390625,0,14.4919120476109,56087.9028448383,56087.9028448383
2021-03-03,3819.719970703125,3819.719970703125,0,14.4919120476109,55355.045861932565,55355.045861932565
2021-03-04,3768.469970703125,3768.469970703125,0,14.4919120476109,54612.33536949251,54612.33536949251
2021-03-05,3841.93994140625,3841.93994140625,0,14.4919120476109,55677.055723062746,55677.055723062746
2021-03-08,3821.35009765625,3821.35009765625,0,14.4919120476109,55378.6695183637,55378.6695183637
2021-03-09,3875.43994140625,3875.43994140625,0,14.4919120476109,56162.53477665771,56162.53477665771
2021-03-10,3898.81005859375,3898.81005859375,0,14.4919120476109,56501.21245948132,56501.21245948132
2021-03-11,3939.340087890625,3939.340087890625,0,14.4919120476109,57088.57007933873,57088.57007933873
2021-03-12,3943.340087890625,3943.340087890625,0,14.4919120476109,57146.53772752917,57146.53772752917
2021-03-15,3968.93994140625,3968.93994140625,0,14.4919120476109,57517.52855310933,57517.52855310933
2021-03-16,3962.7099609375,3962.7099609375,0,14.4919120476109,57427.24422409787,57427.24422409787
2021-03-17,3974.1201171875,3974.1201171875,0,14.4919120476109,57592.59920492237,57592.59920492237
2021-03-18,3915.4599609375,3915.4599609375,0,14.4919120476109,56742.501379848254,56742.501379848254
2021-03-19,3913.10009765625,3913.10009765625,0,14.4919120476109,56708.30244873199,56708.30244873199
2021-03-22,3940.590087890625,3940.590087890625,0,14.4919120476109,57106.684969398244,57106.684969398244
2021-03-23,3910.52001953125,3910.52001953125,0,14.4919120476109,56670.91218346853,56642.57672737679
2021-03-24,3889.139892578125,3904.139892578125,1,14.501086321267778,56396.75329776148,56396.75329776148
2021-03-25,3909.52001953125,3909.52001953125,0,14.501086321267778,56692.28727794714,56692.28727794714
2021-03-26,3974.5400390625,3974.5400390625,0,14.501086321267778,57635.14819378032,57635.14819378032
2021-03-29,3971.090087890625,3971.090087890625,0,14.501086321267778,57585.1201540328,57585.1201540328
2021-03-30,3958.550048828125,3958.550048828125,0,14.501086321267778,57403.27596511542,57403.27596511542
2021-03-31,3972.889892578125,3972.889892578125,0,14.501086321267778,57611.21927716766,57611.21927716766
2021-04-01,4019.8701171875,4019.8701171875,0,14.501086321267778,58292.48356962075,58292.48356962075
2021-04-05,4077.909912109375,4077.909912109375,0,14.501086321267778,59134.12364585154,59134.12364585154
2021-04-06,4073.93994140625,4073.93994140625,0,14.501086321267778,59076.55475799262,59076.55475799262
2021-04-07,4079.949951171875,4079.949951171875,0,14.501086321267778,59163.70642839561,59163.70642839561
2021-04-08,4097.169921875,4097.169921875,0,14.501086321267778,59413.41471001133,59413.41471001133
2021-04-09,4128.7998046875,4128.7998046875,0,14.501086321267778,59872.08237100698,59872.08237100698
2021-04-12,4127.990234375,4127.990234375,0,14.501086321267778,59860.34272202228,59860.34272202228
2021-04-13,4141.58984375,4141.58984375,0,14.501086321267778,60057.55183150468,60057.55183150468
2021-04-14,4124.66015625,4124.66015625,0,14.501086321267778,59812.05297167509,59812.05297167509
2021-04-15,4170.419921875,4170.419921875,0,14.501086321267778,60475.619283044194,60475.619283044194
2021-04-16,4185.47021484375,4185.47021484375,0,14.501086321267778,60693.86488054441,60693.86488054441
2021-04-19,4163.259765625,4163.259765625,0,14.501086321267778,60371.78923918918,60371.78923918918
2021-04-20,4134.93994140625,4134.93994140625,0,14.501086321267778,59961.121023589956,59961.121023589956
2021-04-21,4173.419921875,4173.419921875,0,14.501086321267778,60519.122542008,60519.122542008
2021-04-22,4134.97998046875,4134.97998046875,0,14.501086321267778,59961.701633491495,59961.701633491495
2021-04-23,4180.169921875,4180.169921875,0,14.501086321267778,60617.00487467656,60617.00487467656
